date,Q_mean,Q_std,w_t
2003-01-06,2.8405914,1.9042447,0.018651722
2003-01-07,2.7500672,1.8245544,0.017871171
2003-01-08,2.6690383,1.7108845,0.016757794
2003-01-09,2.5815492,1.5854397,0.015529086
2003-01-10,2.4880219,1.4553014,0.014254406
2003-01-11,2.3903472,1.3279389,0.013006914
2003-01-12,2.286035,1.211039,0.011861901
2003-01-13,2.1763046,1.116968,0.010940494
2003-01-14,2.0583024,1.060258,0.01038503
2003-01-15,1.9301621,1.0577828,0.010360785
2003-01-16,1.7895035,1.1236504,0.011005946
2003-01-17,1.6312821,1.2686113,0.012425811
2003-01-18,1.544664,1.3857796,0.013573453
2003-01-19,1.5393509,1.4130695,0.013840752
2003-01-20,1.5364411,1.4429666,0.014133588
2003-01-21,1.5273635,1.4688435,0.014387048
2003-01-22,1.5235627,1.4977504,0.014670186
2003-01-23,1.5124023,1.5194508,0.014882737
2003-01-24,1.541394,1.5047318,0.014738567
2003-01-25,1.5228271,1.3682115,0.013401376
2003-01-26,2.2514634,1.5823395,0.01549872
2003-01-27,1.950032,1.5114435,0.014804307
2003-01-28,1.618396,1.7215489,0.01686225
2003-01-29,1.5721298,1.6954747,0.016606858
2003-01-30,1.5504959,1.6780341,0.016436031
2003-01-31,2.0191712,1.4834002,0.014529629
2003-02-01,1.8361298,1.4182796,0.0138917845
2003-02-02,1.7053452,1.3697891,0.013416829
2003-02-03,1.5912812,1.3267359,0.01299513
2003-02-04,1.6748565,1.5220646,0.014908339
2003-02-05,2.5627182,1.8064308,0.017693654
2003-02-06,2.3820114,1.7571048,0.017210513
2003-02-07,2.3249023,1.7214324,0.016861109
2003-02-08,2.069078,1.469159,0.014390139
2003-02-09,1.6741607,1.0708909,0.010489177
2003-02-10,1.4966263,0.9258804,0.009068825
2003-02-11,1.3732513,0.83160067,0.008145373
2003-02-12,1.2579224,0.7645541,0.0074886647
2003-02-13,1.1405503,0.7268946,0.007119797
2003-02-14,1.0207214,0.72372615,0.0070887627
2003-02-15,0.89712524,0.7547796,0.007392925
2003-02-16,0.7739029,0.81080675,0.0079417005
2003-02-17,0.736203,0.796189,0.0077985227
2003-02-18,0.6901566,0.776035,0.007601118
2003-02-19,0.6445404,0.7529104,0.007374617
2003-02-20,0.59344786,0.7244629,0.007095979
2003-02-21,0.5419525,0.6913581,0.0067717237
2003-02-22,0.46590883,0.6582407,0.0064473446
2003-02-23,0.38646087,0.6620581,0.0064847358
2003-02-24,0.46366578,0.6533576,0.006399516
2003-02-25,0.3662796,0.5663531,0.005547323
2003-02-26,0.30444488,0.4958185,0.0048564496
2003-02-27,0.22851105,0.4104361,0.004020145
2003-02-28,0.16700287,0.33400574,0.0032715239
2003-03-01,0.38256225,0.43925747,0.004302445
2003-03-02,0.3906021,0.55550754,0.005441093
2003-03-03,1.9137558,2.3230186,0.022753533
2003-03-04,5.370973,1.9068774,0.018677508
2003-03-05,4.055342,1.4131072,0.013841121
2003-03-06,3.6849594,1.22836,0.012031558
2003-03-07,3.1296158,1.0645565,0.010427132
2003-03-08,2.6320496,1.1154143,0.010925274
2003-03-09,2.2245574,1.8777074,0.018391794
2003-03-10,2.3796203,1.700115,0.016652308
2003-03-11,1.9169251,1.4846787,0.014542151
2003-03-12,1.2853378,1.3272219,0.01299989
2003-03-13,2.2104447,1.5717084,0.015394591
2003-03-14,1.62426,1.3975393,0.013688636
2003-03-15,1.4132522,1.2606981,0.012348303
2003-03-16,1.1774826,1.1424935,0.01119051
2003-03-17,1.0530822,1.2391926,0.012137661
2003-03-18,0.9109436,1.3247755,0.012975928
2003-03-19,0.8129608,1.2277417,0.012025502
2003-03-20,1.0031189,1.6990935,0.016642304
2003-03-21,0.5475494,0.9003092,0.008818361
2003-03-22,0.47934875,0.86699235,0.008492028
2003-03-23,0.40384063,0.80768126,0.007911087
2003-03-24,0.34535217,0.6907044,0.006765321
2003-03-25,0.28849182,0.57698363,0.005651447
2003-03-26,0.24324493,0.48648986,0.0047650775
2003-03-27,0.25886232,0.51772463,0.005071016
2003-03-28,0.24380493,0.48760986,0.0047760475
2003-03-29,0.19562988,0.39125976,0.0038323163
2003-03-30,0.15392151,0.30784303,0.003015265
2003-03-31,0.14353332,0.28706664,0.0028117641
2003-04-01,0.10217591,0.20435181,0.002001588
2003-04-02,0.8215332,1.6430664,0.01609353
2003-04-03,0.66246796,1.3249359,0.0129775
2003-04-04,0.51194763,1.0238953,0.010028863
2003-04-05,0.02879181,0.05758362,0.0005640208
2003-04-06,0.74338835,1.4867767,0.014562701
2003-04-07,0.662207,1.324414,0.012972388
2003-04-08,1.0528641,1.6955277,0.016607378
2003-04-09,0.9040497,1.5111315,0.014801252
2003-04-10,0.80757296,1.4199185,0.013907838
2003-04-11,0.6127777,1.2255554,0.012004087
2003-04-12,0.63832855,1.2766571,0.012504619
2003-04-13,0.7804367,1.4089593,0.013800493
2003-04-14,0.6086685,1.1983659,0.01173777
2003-04-15,0.5202713,1.0405426,0.010191921
2003-04-16,0.35075378,0.70150757,0.006871136
2003-04-17,0.3919403,0.7838806,0.0076779644
2003-04-18,0.24920197,0.49840394,0.0048817736
2003-04-19,0.0,1e-04,9.794813e-07
