date,Q_lstm,w_t,P,PET,P7d,P30d,P90d,ASM,BF_proxy,delta_Q,sin_month,cos_month
2008-08-26,-72.437195,-27.303476,2.839537,-16.33042,12.755559,22.472918,10.482425,90.24746,-36.383038,15.082916,2.9907753,17.630196
2008-08-27,-81.27016,-26.996033,-1.1618792,3.579934,85.572174,13.993752,18.503035,85.17093,-54.91269,0.09882899,2.82367,23.319954
2008-08-28,-77.23713,-19.01414,5.249989,2.9353924,98.20826,15.128485,16.425907,95.68455,-74.47451,10.812356,1.5713695,24.742155
2008-08-29,-83.618195,-15.67236,-1.1746019,1.8300091,93.203575,17.119362,19.976942,85.79784,-72.37858,-2.0160713,2.860855,30.169262
2008-08-30,-83.07131,-21.039515,-3.4219677,-14.548507,120.51779,9.519871,16.751074,80.53441,-66.75441,-6.1024804,0.66712356,31.76948
2008-08-31,-74.06535,-20.161182,12.567786,1.9189645,-9.105986,21.590334,11.336328,55.044865,-88.4437,-32.503918,3.1877956,42.136826
2008-09-01,-51.219414,-37.245872,-4.7666144,-4.741039,-15.653894,-5.183074,17.069498,49.384647,-92.00257,-40.686394,2.5054405,-6.9252305
2008-09-02,-70.39813,-10.759114,-3.254266,2.762745,-10.166271,5.909581,12.774135,44.67945,-109.24749,-28.066908,5.814197,-4.2298703
2008-09-03,-27.285172,-14.196434,-24.861067,3.299111,149.74696,24.323317,16.186691,116.02051,-58.639584,-26.232054,2.70101,-5.1582527
2008-09-04,9.754392,-19.590042,-15.276256,-5.245179,149.0264,32.763226,5.4529824,139.81253,-59.243042,-27.318884,2.6343768,-0.28461504
2008-09-05,8.492168,-17.459013,-4.1237326,3.1339111,157.95078,33.33976,11.49913,144.18805,-58.851604,-28.31338,2.882561,-0.6196773
2008-09-06,17.20144,-10.257045,9.298248,3.1671536,115.90794,24.622192,10.321274,120.71907,-40.733883,1.1279191,4.4301333,-1.9946566
2008-09-07,15.523721,-4.3727508,11.525124,-1.088947,112.40767,22.651075,10.664058,122.46726,-39.28111,10.739391,3.1677856,-3.7396555
2008-09-08,10.987666,-13.895069,7.138052,3.4024107,91.78757,23.758589,12.61119,108.612465,-47.146095,10.7127495,3.63804,-2.1966982
2008-09-09,-9.479149,-14.340454,3.0374532,-12.371318,93.72949,12.603156,7.659628,101.316315,-51.401806,0.9125688,4.772952,-2.2185395
2008-09-10,-26.27603,-15.028056,-0.65425014,2.480665,-41.01205,28.26249,13.977887,110.98488,-53.384617,-0.95084983,3.4744425,-2.3063173
2008-09-11,-32.097744,-22.234398,-23.711702,2.157219,-38.54705,20.356306,5.219285,114.36469,-56.41362,-0.9296837,1.9865484,-2.3798914
2008-09-12,-39.343075,-19.950537,1.9327941,2.0566325,-40.835342,19.583244,8.601048,119.64538,-54.429974,0.6790763,1.7846134,-3.1440854
2008-09-13,-63.670776,-9.127281,-2.5341783,0.75801605,-28.719055,14.569794,-2.5438726,103.66446,-79.94311,-2.7537653,2.3288097,-5.867756
